"ville_ID","ville_nom","ville_insee","ville_zip","ville_lambertX","ville_lambertY","departement_ID","region_ID","zone_ID","pays_ID","ville_longitude","ville_latitude","canton_ID","arrondissement_ID","admin_ID","territoire_sante","secteur_apa_ID","secteur_Smur_ID","secteur_Adps_ID","secteur_Vsav_ID","zone_proximite"
"418","LICHTENBERG","67265",,"977","24481","67","42","1","1","7.481805","48.920813","17","4","0","1","2","4","21","0","9"
"419","LIMERSHEIM","67266",,"992","23974","67","42","1","1","7.644994","48.454471","7","5","0","2","8","3","12","0","7"
"420","LINGOLSHEIM","67267","67380","994","24085","67","42","1","1","7.682223","48.556989","42","6","0","2","6","3","65","0","10"
"421","LIPSHEIM","67268",,"993","24012","67","42","1","1","7.666431","48.492279","8","6","0","2","6","3","48","0","10"
"422","LITTENHEIM","67269",,"978","24268","67","42","1","1","7.488045","48.728384","21","4","0","1","5","4","7","0","9"
"423","LIXHAUSEN","67270",,"983","24345","67","42","1","1","7.548519","48.794085","10","6","0","1","5","4","18","0","9"
"424","LOBSANN","67271",,"1003","24547","67","42","1","1","7.843510","48.964169","26","7","0","1","3","6","23","0","12"
"425","LOCHWILLER","67272",,"973","24228","67","42","1","1","7.416257","48.696231","13","4","0","1","5","4","7","0","9"
"426","LOHR","67273",,"960","24401","67","42","1","1","7.243165","48.858244","17","4","0","1","1","4","21","0","9"
"427","LORENTZEN","67274",,"954","24502","67","42","1","1","7.176479","48.952275","20","4","0","1","1","4","8","0","9"
"428","LUPSTEIN","67275",,"978","24278","67","42","1","1","7.485518","48.736388","21","4","0","1","5","4","7","0","9"
"429","LUTZELHOUSE","67276",,"965","24027","67","42","1","1","7.287852","48.519621","14","3","0","2","7","3","36","0","5"
"430","MACKENHEIM","67277",,"988","23667","67","42","1","1","7.565551","48.184286","12","5","0","3","9","5","24","0","7"
"431","MACKWILLER","67278",,"954","24472","67","42","1","1","7.174721","48.926196","6","4","0","1","1","4","8","0","9"
"432","MAENNOLSHEIM","67279",,"977","24237","67","42","1","1","7.463163","48.699730","21","4","0","1","5","4","7","0","9"
"433","MAISONSGOUTTE","67280",,"965","23843","67","42","1","1","7.263989","48.353323","32","5","0","3","9","5","37","0","7"
"434","MARCKOLSHEIM","67281",,"987","23643","67","42","1","1","7.544126","48.164565","12","5","0","3","9","5","24","0","7"
"435","MARLENHEIM","67282",,"979","24148","67","42","1","1","7.489390","48.621818","33","3","0","2","5","3","38","0","5"
"436","MARMOUTIER","67283",,"971","24220","67","42","1","1","7.380904","48.691043","13","4","0","1","5","4","7","0","9"
"437","MATZENHEIM","67285",,"991","23904","67","42","1","1","7.622149","48.395728","2","5","0","3","8","5","12","0","7"
"438","MEISTRATZHEIM","67286",,"985","23961","67","42","1","1","7.547657","48.450683","16","5","0","2","8","3","27","0","7"
"439","MELSHEIM","67287",,"981","24303","67","42","1","1","7.522214","48.757126","10","6","0","1","5","4","18","0","9"
"440","MEMMELSHOFFEN","67288",,"1005","24545","67","42","1","1","7.871493","48.960528","26","7","0","1","3","6","16","0","12"
