"Département - commune","Libellé de la commune","Région","Département","Code géographique du bassin de vie 2012","Libellé du bassin de vie 2012",,
"COM","LIB_COM","REG","DEP","BV","LIBBV",,
"01299","Le Plantay","82","01","01443","Villars-les-Dombes",,
"01300","Le Poizat","82","01","01269","Nantua",,
"01301","Polliat","82","01","01053","Bourg-en-Bresse",,
"01302","Pollieu","82","01","01034","Belley",,
"01303","Poncin","82","01","01004","Ambérieu-en-Bugey",,
"01304","Pont-d'Ain","82","01","01004","Ambérieu-en-Bugey",,
"01305","Pont-de-Vaux","82","01","01305","Pont-de-Vaux",,
"01306","Pont-de-Veyle","82","01","01134","Crottet - Pont-de-Veyle",,
"01307","Port","82","01","01269","Nantua",,
"01308","Pougny","82","01","74012","Annemasse",,
"01309","Pouillat","82","01","39475","Saint-Amour",,
"01310","Prémeyzel","82","01","01034","Belley",,
"01311","Prémillieu","82","01","01185","Hauteville-Lompnes",,
"01312","Pressiat","82","01","01053","Bourg-en-Bresse",,
"01313","Prévessin-Moëns","82","01","74012","Annemasse",,
"01314","Priay","82","01","01004","Ambérieu-en-Bugey",,
"01316","Pugieu","82","01","01034","Belley",,
"01317","Ramasse","82","01","01053","Bourg-en-Bresse",,
"01318","Rancé","82","01","69123","Lyon",,
"01319","Relevant","82","01","01093","Châtillon-sur-Chalaronne",,
"01320","Replonges","82","01","71270","Mâcon",,
"01321","Revonnas","82","01","01053","Bourg-en-Bresse",,
"01322","Reyrieux","82","01","69123","Lyon",,
"01323","Reyssouze","82","01","01305","Pont-de-Vaux",,
"01325","Rignieux-le-Franc","82","01","01244","Meximieux",,
"01328","Romans","82","01","01093","Châtillon-sur-Chalaronne",,
"01329","Rossillon","82","01","01034","Belley",,
"01330","Ruffieu","82","01","01185","Hauteville-Lompnes",,
"01331","Saint-Alban","82","01","01004","Ambérieu-en-Bugey",,
"01332","Saint-André-de-Bâgé","82","01","71270","Mâcon",,
"01333","Saint-André-de-Corcy","82","01","01333","Saint-André-de-Corcy",,
"01334","Saint-André-d'Huiriat","82","01","01134","Crottet - Pont-de-Veyle",,
"01335","Saint-André-le-Bouchoux","82","01","01093","Châtillon-sur-Chalaronne",,
"01336","Saint-André-sur-Vieux-Jonc","82","01","01053","Bourg-en-Bresse",,
"01337","Saint-Bénigne","82","01","01305","Pont-de-Vaux",,
"01338","Saint-Benoît","82","01","38022","Les Avenières",,
"01339","Saint-Bernard","82","01","69123","Lyon",,
"01340","Saint-Bois","82","01","01034","Belley",,
"01341","Saint-Champ","82","01","01034","Belley",,
"01342","Sainte-Croix","82","01","69123","Lyon",,
"01343","Saint-Cyr-sur-Menthon","82","01","71270","Mâcon",,
"01344","Saint-Denis-lès-Bourg","82","01","01053","Bourg-en-Bresse",,
"01345","Saint-Denis-en-Bugey","82","01","01004","Ambérieu-en-Bugey",,
"01346","Saint-Didier-d'Aussiat","82","01","01266","Montrevel-en-Bresse",,
"01347","Saint-Didier-de-Formans","82","01","69123","Lyon",,
"01348","Saint-Didier-sur-Chalaronne","82","01","01348","Saint-Didier-sur-Chalaronne - Thoissey",,
"01349","Saint-Éloi","82","01","01244","Meximieux",,
"01350","Saint-Étienne-du-Bois","82","01","01053","Bourg-en-Bresse",,
"01351","Saint-Étienne-sur-Chalaronne","82","01","01348","Saint-Didier-sur-Chalaronne - Thoissey",,
"01352","Saint-Étienne-sur-Reyssouze","82","01","01305","Pont-de-Vaux",,
"01353","Sainte-Euphémie","82","01","69123","Lyon",,
"01354","Saint-Genis-Pouilly","82","01","74012","Annemasse",,
"01355","Saint-Genis-sur-Menthon","82","01","01457","Vonnas",,
"01356","Saint-Georges-sur-Renon","82","01","01093","Châtillon-sur-Chalaronne",,
"01357","Saint-Germain-de-Joux","82","01","01033","Bellegarde-sur-Valserine",,
"01358","Saint-Germain-les-Paroisses","82","01","01034","Belley",,
"01359","Saint-Germain-sur-Renon","82","01","01093","Châtillon-sur-Chalaronne",,
"01360","Saint-Jean-de-Gonville","82","01","74012","Annemasse",,
"01361","Saint-Jean-de-Niost","82","01","01244","Meximieux",,
"01362","Saint-Jean-de-Thurigneux","82","01","69123","Lyon",,
"01363","Saint-Jean-le-Vieux","82","01","01004","Ambérieu-en-Bugey",,
"01364","Saint-Jean-sur-Reyssouze","82","01","01305","Pont-de-Vaux",,
"01365","Saint-Jean-sur-Veyle","82","01","01134","Crottet - Pont-de-Veyle",,
"01366","Sainte-Julie","82","01","01202","Lagnieu",,
"01367","Saint-Julien-sur-Reyssouze","82","01","01266","Montrevel-en-Bresse",,
"01368","Saint-Julien-sur-Veyle","82","01","01457","Vonnas",,
"01369","Saint-Just","82","01","01053","Bourg-en-Bresse",,
"01370","Saint-Laurent-sur-Saône","82","01","71270","Mâcon",,
"01371","Saint-Marcel","82","01","01333","Saint-André-de-Corcy",,
"01372","Saint-Martin-de-Bavel","82","01","01034","Belley",,
"01373","Saint-Martin-du-Frêne","82","01","01269","Nantua",,
"01374","Saint-Martin-du-Mont","82","01","01053","Bourg-en-Bresse",,
"01375","Saint-Martin-le-Châtel","82","01","01266","Montrevel-en-Bresse",,
"01376","Saint-Maurice-de-Beynost","82","01","69123","Lyon",,
"01378","Saint-Maurice-de-Gourdans","82","01","01244","Meximieux",,
"01379","Saint-Maurice-de-Rémens","82","01","01004","Ambérieu-en-Bugey",,
"01380","Saint-Nizier-le-Bouchoux","82","01","01266","Montrevel-en-Bresse",,
"01381","Saint-Nizier-le-Désert","82","01","01443","Villars-les-Dombes",,
"01382","Sainte-Olive","82","01","01443","Villars-les-Dombes",,
"01383","Saint-Paul-de-Varax","82","01","01053","Bourg-en-Bresse",,
"01384","Saint-Rambert-en-Bugey","82","01","01004","Ambérieu-en-Bugey",,
"01385","Saint-Rémy","82","01","01053","Bourg-en-Bresse",,
"01386","Saint-Sorlin-en-Bugey","82","01","01202","Lagnieu",,
"01387","Saint-Sulpice","82","01","01266","Montrevel-en-Bresse",,
"01388","Saint-Trivier-de-Courtes","82","01","01305","Pont-de-Vaux",,
"01389","Saint-Trivier-sur-Moignans","82","01","01093","Châtillon-sur-Chalaronne",,
"01390","Saint-Vulbas","82","01","01202","Lagnieu",,
"01391","Salavre","82","01","39475","Saint-Amour",,
"01392","Samognat","82","01","01283","Oyonnax",,
"01393","Sandrans","82","01","01093","Châtillon-sur-Chalaronne",,
"01396","Sault-Brénaz","82","01","38247","Montalieu-Vercieu",,
"01397","Sauverny","82","01","01173","Gex",,
"01398","Savigneux","82","01","69123","Lyon",,
"01399","Ségny","82","01","01173","Gex",,
"01400","Seillonnaz","82","01","38247","Montalieu-Vercieu",,
"01401","Sergy","82","01","74012","Annemasse",,
"01402","Sermoyer","82","01","71158","Cuisery",,
"01403","Serrières-de-Briord","82","01","38247","Montalieu-Vercieu",,
"01404","Serrières-sur-Ain","82","01","01053","Bourg-en-Bresse",,
"01405","Servas","82","01","01053","Bourg-en-Bresse",,
"01406","Servignat","82","01","01305","Pont-de-Vaux",,
"01407","Seyssel","82","01","74269","Seyssel",,
"01408","Simandre-sur-Suran","82","01","01053","Bourg-en-Bresse",,
"01409","Songieu","82","01","01185","Hauteville-Lompnes",,
"01410","Sonthonnax-la-Montagne","82","01","01283","Oyonnax",,
"01411","Souclin","82","01","01202","Lagnieu",,
"01412","Sulignat","82","01","01457","Vonnas",,
"01413","Surjoux","82","01","74269","Seyssel",,
"01414","Sutrieu","82","01","01185","Hauteville-Lompnes",,
"01415","Talissieu","82","01","01034","Belley",,
"01416","Tenay","82","01","01185","Hauteville-Lompnes",,
"01417","Thézillieu","82","01","01185","Hauteville-Lompnes",,
"01418","Thil","82","01","69123","Lyon",,
"01419","Thoiry","82","01","74012","Annemasse",,
"01420","Thoissey","82","01","01348","Saint-Didier-sur-Chalaronne - Thoissey",,
"01421","Torcieu","82","01","01004","Ambérieu-en-Bugey",,
"01422","Tossiat","82","01","01053","Bourg-en-Bresse",,
"01423","Toussieux","82","01","69123","Lyon",,
"01424","Tramoyes","82","01","69123","Lyon",,
"01425","La Tranclière","82","01","01053","Bourg-en-Bresse",,
"01426","Treffort-Cuisiat","82","01","01053","Bourg-en-Bresse",,
"01427","Trévoux","82","01","69123","Lyon",,
"01428","Valeins","82","01","01093","Châtillon-sur-Chalaronne",,
"01429","Vandeins","82","01","01457","Vonnas",,
"01430","Varambon","82","01","01004","Ambérieu-en-Bugey",,
"01431","Vaux-en-Bugey","82","01","01202","Lagnieu",,
"01432","Verjon","82","01","39475","Saint-Amour",,
"01433","Vernoux","82","01","01305","Pont-de-Vaux",,
"01434","Versailleux","82","01","01443","Villars-les-Dombes",,
"01435","Versonnex","82","01","01173","Gex",,
"01436","Vesancy","82","01","01173","Gex",,
"01437","Vescours","82","01","01305","Pont-de-Vaux",,
"01439","Vésines","82","01","71270","Mâcon",,
"01441","Vieu-d'Izenave","82","01","01269","Nantua",,
"01442","Vieu","82","01","01034","Belley",,
"01443","Villars-les-Dombes","82","01","01443","Villars-les-Dombes",,
"01444","Villebois","82","01","38247","Montalieu-Vercieu",,
"01445","Villemotier","82","01","39475","Saint-Amour",,
"01446","Villeneuve","82","01","69123","Lyon",,
"01447","Villereversure","82","01","01053","Bourg-en-Bresse",,
"01448","Villes","82","01","01033","Bellegarde-sur-Valserine",,
"01449","Villette-sur-Ain","82","01","01004","Ambérieu-en-Bugey",,
"01450","Villieu-Loyes-Mollon","82","01","01244","Meximieux",,
"01451","Viriat","82","01","01053","Bourg-en-Bresse",,
"01452","Virieu-le-Grand","82","01","01034","Belley",,
"01453","Virieu-le-Petit","82","01","01034","Belley",,
"01454","Virignin","82","01","73330","Yenne",,
"01456","Vongnes","82","01","01034","Belley",,
"01457","Vonnas","82","01","01457","Vonnas",,
"02001","Abbécourt","22","02","02173","Chauny",,
"02002","Achery","22","02","02738","Tergnier",,
"02003","Acy","22","02","02722","Soissons",,
"02004","Agnicourt-et-Séchelles","22","02","02468","Marle",,
"02005","Aguilcourt","22","02","51454","Reims",,
"02006","Aisonville-et-Bernoville","22","02","02095","Bohain-en-Vermandois",,
"02007","Aizelles","22","02","51454","Reims",,
"02008","Aizy-Jouy","22","02","02722","Soissons",,
"02009","Alaincourt","22","02","02691","Saint-Quentin",,
"02010","Allemant","22","02","02018","Pinon",,
"02011","Ambleny","22","02","02795","Vic-sur-Aisne",,
"02012","Ambrief","22","02","02722","Soissons",,
"02013","Amifontaine","22","02","51454","Reims",,
"02014","Amigny-Rouy","22","02","02738","Tergnier",,
"02015","Ancienville","22","02","02810","Villers-Cotterêts",,
"02016","Andelain","22","02","02738","Tergnier",,
"02017","Anguilcourt-le-Sart","22","02","02738","Tergnier",,
"02018","Anizy-le-Château","22","02","02018","Pinon",,
"02019","Annois","22","02","80410","Ham",,
"02020","Any-Martin-Rieux","22","02","02381","Hirson",,
"02021","Archon","22","02","02381","Hirson",,
"02022","Arcy-Sainte-Restitue","22","02","02305","Fère-en-Tardenois",,
"02023","Armentières-sur-Ourcq","22","02","02305","Fère-en-Tardenois",,
"02024","Arrancy","22","02","02408","Laon",,
"02025","Artemps","22","02","02691","Saint-Quentin",,
"02026","Artonges","22","02","51380","Montmirail",,
